Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
109,1,1,1,34,11,25,5,1,2.007,0
109,1,1,1,34,11,30,11,1,1.339,0
109,1,1,1,34,12,30,38,2,1.45,0
109,1,1,1,34,12,35,76,1,1.052,0
109,1,1,1,34,16,25,113,2,1.234,0
109,1,1,1,34,16,25,70,2,1.332,0
109,1,1,1,34,18,30,67,2,1.151,0
109,1,1,1,34,19,25,20,1,0.88,0
109,1,1,1,34,21,30,171,1,1.001,0
109,1,1,1,34,25,35,4,1,0.736,0
109,1,1,1,34,30,35,3,1,0.886,0
109,1,1,1,34,32,35,59,2,1.114,0
109,1,1,1,34,30,35,42,2,1.05,0
109,1,1,1,34,15,30,158,1,1.018,0
109,1,1,1,34,31,35,129,2,1.22,0
109,1,1,1,34,13,35,27,2,1.384,0
109,1,1,1,34,17,25,9,1,1.003,0
