Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
101,1,3,2,27,11,25,5,2,1.608,1
101,1,3,2,27,11,30,11,2,0.9,1
101,1,3,2,27,12,30,38,1,1.356,1
101,1,3,2,27,12,35,76,2,1.033,1
101,1,3,2,27,16,25,113,1,1.089,1
101,1,3,2,27,16,25,70,1,1.159,1
101,1,3,2,27,18,30,67,1,1.493,1
101,1,3,2,27,19,25,20,2,0.903,1
101,1,3,2,27,21,30,171,2,1.093,1
101,1,3,2,27,25,35,4,2,1.058,1
101,1,3,2,27,30,35,3,2,1.079,1
101,1,3,2,27,32,35,59,1,1.497,1
101,1,3,2,27,30,35,42,1,1.183,1
101,1,3,2,27,15,30,158,2,1.088,1
101,1,3,2,27,31,35,129,1,1.301,1
101,1,3,2,27,13,35,27,1,1.354,1
101,1,3,2,27,17,25,9,2,0.905,1
