Subj,kPre,betaPre,kPost,betaPost
102,0.100879919,0.39882367,0.08482923,0.142647388
103,0.021526286,0.204375704,0.048813991,0.197975734
104,0.006322289,0.121446713,0.04980243,0.116683289
105,0.010064162,0.793708189,0.038723773,0.620067347
106,0.020034289,0.812006342,0.020122831,1.091453785
107,0.003292168,0.839467174,0.009469404,0.166516022
108,0.030656632,0.810946341,0.02403839,0.544106392
109,0.276188206,0.66447515,0.294862197,0.848507095
111,0.012884197,0.579670223,0.022953864,0.34721415
112,0.04678161,0.329553556,0.033947192,0.389651338
115,0.114359683,0.145504463,0.295380768,0.856069202
116,0.02345766,0.553218311,0.038971642,0.365445278
117,0.03682182,0.418501241,0.03127532,0.495057117
118,0.124265148,0.763951383,0.127371956,1.012249166
119,0.071035537,0.65772981,0.071927825,0.741634129
120,0.005717874,0.825159719,0.002331283,0.626487303
121,0.019955543,0.810198177,0.031133527,1.12907373
122,0.006191508,0.638736197,0.007710442,1.145186992
123,0.096868386,0.383586459,0.297033221,0.842453934
124,0.001882781,0.789837057,0.000917007,0.33831228
125,0.000510036,0.801380953,0.000480894,1.084957931
126,0.27586051,0.669328114,0.184060441,0.253574865
127,0.017146764,0.387693502,0.018206401,0.337438884
128,0.014768635,0.809482478,0.027531252,0.281139715
129,0.032648766,0.435542687,0.03745373,0.273889454
130,0.002835572,0.301237945,0.001185645,0.404318475
131,0.00248807,0.5999568,0.002498458,0.608574281
132,0.010988066,0.509436783,0.007504035,0.696972252
133,0.000501488,0.804658088,0.000479017,1.094121574
134,0.015436132,0.204880336,0.001905057,1.069329101
135,0.002368703,0.397063039,0.001779959,0.403824011
136,0.000503944,0.799728131,0.000478167,1.098387466
137,0.042189455,0.774516778,0.01450391,1.091421528
138,0.017689225,0.136063566,0.006869813,0.206708686
139,0.001899828,0.789170491,0.00626692,0.688801647
140,0.003028064,0.531844749,0.005693518,1.160076862
141,0.04220573,0.785588884,0.030230547,0.184201935
142,0.012819475,0.345313973,0.007751983,1.13056951
143,0.005702529,0.825903645,0.004296699,1.092674825
144,0.010116926,0.795300629,0.024126572,0.543098643
145,0.023569917,0.552437409,0.019139583,0.319265175
146,0.010079263,0.800608816,0.007735537,1.13814715
147,0.040148155,0.378448791,0.013324029,0.266931698
148,0.000500744,0.802386325,0.016443076,0.026731136
149,0.003020863,0.530421616,0.016681388,0.026709607
150,0.01986263,0.809725032,0.050645754,0.00343484
151,0.00050306,0.806465927,0.016860993,0.026675331
152,0.056161215,0.459362189,0.060870008,0.003578144
153,0.001263222,0.756204642,0.032398946,0.01253799
154,0.038655884,0.21972182,0.054822341,0.003410738
