ProlificID,Sub,Time,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_left,resp_right,resp_final
5ace650a436f550001004f87,101,0,3,2,27,11,25,5,2,1.579,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,11,30,11,2,1.505,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,12,30,38,1,1.227,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,12,35,76,2,2.579,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,16,25,113,1,1.18,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,16,25,70,1,1.341,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,18,30,67,1,1.156,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,19,25,20,2,0.967,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,21,30,171,2,0.943,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,25,35,4,2,1.033,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,30,35,3,2,1.241,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,32,35,59,1,1.25,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,30,35,42,1,1.307,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,15,30,158,2,1.204,immed,delay,1
5ace650a436f550001004f87,101,0,3,2,27,31,35,129,1,1.231,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,13,35,27,1,1.111,delay,immed,1
5ace650a436f550001004f87,101,0,3,2,27,17,25,9,2,1.022,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,11,25,5,2,1.608,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,11,30,11,2,0.9,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,12,30,38,1,1.356,delay,immed,1
5ace650a436f550001004f87,101,1,3,2,27,12,35,76,2,1.033,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,16,25,113,1,1.089,delay,immed,1
5ace650a436f550001004f87,101,1,3,2,27,16,25,70,1,1.159,delay,immed,1
5ace650a436f550001004f87,101,1,3,2,27,18,30,67,1,1.493,delay,immed,1
5ace650a436f550001004f87,101,1,3,2,27,19,25,20,2,0.903,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,21,30,171,2,1.093,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,25,35,4,2,1.058,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,30,35,3,2,1.079,immed,delay,1
5ace650a436f550001004f87,101,1,3,2,27,32,35,59,1,1.497,delay,immed,1
5ace650a436f550001004f87,101,1,3,2,27,30,35,42,1,1.183,delay,immed,1
