spacebar.keys,spacebar.rt,spacebar2.keys,spacebar2.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Immed,Delay,Time,ITI,Left_Choice_Text,Right_Choice_Text,DecisionColor,Prolific ID *,Race (1=White 2=Black 3=Asian 4=Hispanic/Latino 5=Other) *,Sex (1=Male 2=Female 3=Other) *,Age *,date,expName,psychopyVersion,frameRate,redirect,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
space,157.805,space,15.722,2,2.353,1,0,17,0,1,16,11,25,5,6,$11 now,$25 in 5 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,2.411,1,0,17,1,1,16,11,30,11,4,$11 now,$30 in 11 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.915,1,0,17,2,1,16,12,30,38,4,$30 in 38 days,$12 now,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,1.848,1,0,17,3,1,16,12,35,76,6,$12 now,$35 in 76 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.663,1,0,17,4,1,16,16,25,113,5,$25 in 113 days,$16 now,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.468,1,0,17,5,1,16,16,25,70,6,$25 in 70 days,$16 now,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.116,1,0,17,6,1,16,18,30,67,4,$30 in 67 days,$18 now,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,1.401,1,0,17,7,1,16,19,25,20,4,$19 now,$25 in 20 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,1.019,1,0,17,8,1,16,21,30,171,4,$21 now,$30 in 171 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.717,1,0,17,9,1,16,25,35,4,5,$25 now,$35 in 4 days,red,5ae2867208674000015fd204,2,2,34,2020-02-02_13h45.34.771,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
