spacebar.keys,spacebar.rt,spacebar2.keys,spacebar2.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Immed,Delay,Time,ITI,Immed_Choice_Text,Delay_Choice_Text,DecisionColor,MTurk ID *,Race (1=White 2=Black 3=Asian 4=Hispanic/Latino 5=Other) *,Sex (1=Male 2=Female 3=Other) *,Age *,date,expName,psychopyVersion,frameRate,redirect,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
space,4.796,space,0.686,1,1.395,1,0,17,0,1,16,11,25,5,6,$11 now,$25 in 5 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,0.354,1,0,17,1,1,16,11,30,11,4,$11 now,$30 in 11 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,1.316,1,0,17,2,1,16,12,30,38,4,$12 now,$30 in 38 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,0.274,1,0,17,3,1,16,12,35,76,6,$12 now,$35 in 76 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1,0.005,1,0,17,4,1,16,16,25,113,5,$16 now,$25 in 113 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.266,1,0,17,5,1,16,16,25,70,6,$16 now,$25 in 70 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.269,1,0,17,6,1,16,18,30,67,4,$18 now,$30 in 67 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.568,1,0,17,7,1,16,19,25,20,4,$19 now,$25 in 20 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.559,1,0,17,8,1,16,21,30,171,4,$21 now,$30 in 171 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,1.003,1,0,17,9,1,16,25,35,4,5,$25 now,$35 in 4 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.586,1,0,17,10,1,16,30,35,3,4,$30 now,$35 in 3 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2,0.607,1,0,17,11,1,16,32,35,59,4,$32 now,$35 in 59 days,red,0,5,5,18,2019-09-29_18h05.01.344,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
