TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,3.17267,2.0,15,1,1,18,2.03032,5.20299,6.21822
2,30,11,11,4,1.0,1.0,4.55117,2.0,15,1,1,18,12.238,16.7892,17.8056
3,30,12,38,4,1.0,2.0,1.9381,1.0,15,1,1,18,21.8203,23.7584,24.7738
4,35,12,76,6,1.0,3.0,1.45445,1.0,15,1,1,18,28.7892,30.2436,31.2591
5,25,16,113,5,1.0,4.0,1.61782,1.0,15,1,1,18,37.2784,38.8962,39.9114
6,25,16,70,6,1.0,5.0,1.55466,1.0,15,1,1,18,44.927,46.4817,47.4976
7,30,18,67,4,1.0,6.0,1.50467,1.0,15,1,1,18,53.5128,55.0175,56.033
8,25,19,20,4,1.0,7.0,1.60471,1.0,15,1,1,18,60.0481,61.6528,62.6682
9,30,21,171,4,1.0,8.0,2.97106,1.0,15,1,1,18,66.684,69.6551,70.6704
10,35,25,4,5,1.0,9.0,1.20446,1.0,15,1,1,18,74.6858,75.8902,76.9057
11,35,30,3,4,1.0,10.0,8.83653,2.0,15,1,1,18,81.9247,90.7612,91.7772
12,35,32,59,4,1.0,11.0,1.60076,1.0,15,1,1,18,95.7963,97.3971,98.4124
13,35,30,42,5,1.0,12.0,1.83809,1.0,15,1,1,18,102.427,104.265,105.281
14,30,15,158,6,1.0,13.0,3.33849,1.0,15,1,1,18,110.296,113.635,114.65
15,35,31,129,4,1.0,14.0,1.65092,1.0,15,1,1,18,120.67,122.32,123.336
16,35,13,27,4,1.0,15.0,7.8732,1.0,15,1,1,18,127.351,135.224,136.24
17,25,17,9,4,1.0,16.0,3.80536,1.0,15,1,1,18,140.255,144.06,145.076
