TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex
1,25,11,5,6,1.0,0.0,1.78814e-05,2.0,234,1,1,1
2,30,11,11,4,1.0,1.0,1.78814e-05,1.0,234,1,1,1
3,30,12,38,4,1.0,2.0,1.78814e-05,2.0,234,1,1,1
4,35,12,76,6,1.0,3.0,1.78814e-05,1.0,234,1,1,1
5,25,16,113,5,1.0,4.0,1.21593e-05,2.0,234,1,1,1
6,25,16,70,6,1.0,5.0,1.71661e-05,1.0,234,1,1,1
7,30,18,67,4,1.0,6.0,--,--,--,--,--,--
8,25,19,20,4,0.0,--,--,--,--,--,--,--
9,30,21,171,4,0.0,--,--,--,--,--,--,--
10,35,25,4,5,0.0,--,--,--,--,--,--,--
11,35,30,3,4,0.0,--,--,--,--,--,--,--
12,35,32,59,4,0.0,--,--,--,--,--,--,--
13,35,30,42,5,0.0,--,--,--,--,--,--,--
14,30,15,158,6,0.0,--,--,--,--,--,--,--
15,35,31,129,4,0.0,--,--,--,--,--,--,--
16,35,13,27,4,0.0,--,--,--,--,--,--,--
17,25,17,9,4,0.0,--,--,--,--,--,--,--
