TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.58265,2,7,1,21,1,2.01669,5.59935,6.61421
2,30,11,11,4,1,1,5.20316,2,7,1,21,1,12.6336,17.8367,18.862
3,30,12,38,4,1,2,11.007,2,7,1,21,1,22.8844,33.8914,34.9141
4,35,12,76,6,1,3,8.72042,1,7,1,21,1,38.9413,47.6617,48.6887
5,25,16,113,5,1,4,5.01946,1,7,1,21,1,54.7129,59.7323,60.7493
6,25,16,70,6,1,5,4.38895,1,7,1,21,1,65.7632,70.1521,71.1699
7,30,18,67,4,1,6,2.80462,1,7,1,21,1,77.1999,80.0045,81.0289
8,25,19,20,4,1,7,5.30287,2,7,1,21,1,85.0552,90.358,91.3735
9,30,21,171,4,1,8,3.03697,1,7,1,21,1,95.3901,98.4271,99.4542
10,35,25,4,5,1,9,3.37135,2,7,1,21,1,103.474,106.846,107.862
11,35,30,3,4,1,10,1.9363,2,7,1,21,1,112.879,114.815,115.834
12,35,32,59,4,1,11,3.32194,1,7,1,21,1,119.862,123.184,124.197
13,35,30,42,5,1,12,2.28572,1,7,1,21,1,128.217,130.503,131.529
14,30,15,158,6,1,13,3.87202,1,7,1,21,1,136.551,140.423,141.435
15,35,31,129,4,1,14,2.85509,1,7,1,21,1,147.454,150.309,151.326
16,35,13,27,4,1,15,6.33951,2,7,1,21,1,155.356,161.696,162.714
17,25,17,9,4,1,16,1.75494,2,7,1,21,1,166.743,168.498,169.516
