TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,1.48913,2.0,,,,,2.0171,3.50623,4.52392
2,30,11,11,4,1.0,1.0,1.30058,2.0,,,,,10.5581,11.8587,12.8854
3,30,12,38,4,1.0,2.0,1.40447,2.0,,,,,16.9061,18.3106,19.3281
4,35,12,76,6,1.0,3.0,1.68796,2.0,,,,,23.358,25.0459,26.0672
5,25,16,113,5,1.0,4.0,1.68793,1.0,,,,,32.0939,33.7819,34.8031
6,25,16,70,6,1.0,5.0,1.86785,1.0,,,,,39.8331,41.7009,42.7278
7,30,18,67,4,1.0,6.0,1.4212,2.0,,,,,48.7489,50.1701,51.1829
8,25,19,20,4,1.0,7.0,1.38779,2.0,,,,,55.2009,56.5887,57.611
9,30,21,171,4,1.0,8.0,1.63723,1.0,,,,,61.6368,63.274,64.2877
10,35,25,4,5,1.0,9.0,1.32114,2.0,,,,,68.3047,69.6259,70.6524
11,35,30,3,4,1.0,10.0,1.2339,2.0,,,,,75.6774,76.9113,77.9374
12,35,32,59,4,1.0,11.0,1.28725,2.0,,,,,81.9588,83.246,84.271
13,35,30,42,5,1.0,12.0,1.78786,2.0,,,,,88.2941,90.0819,91.1037
14,30,15,158,6,1.0,13.0,1.27064,2.0,,,,,96.1297,97.4003,98.42
15,35,31,129,4,1.0,14.0,1.3878,1.0,,,,,104.449,105.837,106.859
16,35,13,27,4,1.0,15.0,0.837682,2.0,,,,,110.884,111.722,112.741
17,25,17,9,4,1.0,16.0,0.90426,2.0,,,,,116.769,117.673,118.7
